,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1035,16,2011 Land Rover Range Rover Sport HSE,12999,138637, Four-wheel Drive ,13–18,Gasoline ,6-Speed Automatic,5.0L V8 32V GDI DOHC,30039,0,1
1036,17,2011 Ford Edge Limited,14895,64251, Front-wheel Drive ,19–26,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,21122,1,1
1037,18,2019 GMC Yukon SLT,56495,22082, Rear-wheel Drive ,15–22,Gasoline ,Automatic,5.3L V8 16V GDI OHV,32817,3,3
1038,19,2019 BMW 430 Gran Coupe i xDrive,37988,21857, All-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,76051,1,1
1039,0,2019 Cadillac CT6 3.6L Luxury,41999,15447, All-wheel Drive ,18–27,Gasoline ,10-Speed Automatic,3.6L V6 24V GDI DOHC,48219,1,1
1040,1,2020 Nissan Murano S,27950,23006, All-wheel Drive ,20–28,Gasoline ,Automatic CVT,3.5L V6 24V MPFI DOHC,15236,3,3
1041,2,2018 BMW X1 sDrive28i,27988,23320, Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,90806,0,1
1042,3,2021 Toyota RAV4 Hybrid LE,44698,18508, All-wheel Drive ,41–38,Hybrid ,ecvt (continuously variable),4 Cylinder Engine,0,3,3
1043,4,2021 Cadillac Escalade Premium Luxury Platinum,125921,16311, Rear-wheel Drive ,15–20,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,33137,1,0
1044,5,2018 Mercedes-Benz AMG C 43 Base 4MATIC,32950,49995, All-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,10466,3,3
1045,6,2021 Chevrolet Traverse LT Leather,34300,50618, Front-wheel Drive ,18–27,Gasoline ,9-SPEED A/T,V6 Cylinder Engine,28147,3,3
1046,7,2015 Lexus RX 350 F Sport,23950,54000, All-wheel Drive ,18–26,Gasoline ,8-Speed Automatic,3.5L V6 24V MPFI DOHC,68117,3,3
1047,8,2020 Jaguar F-PACE 25t Premium,39480,48847, All-wheel Drive ,22–27,Gasoline ,Automatic,I4,75093,1,0
1048,9,2018 Ford Escape Titanium,24480,45558, Front-wheel Drive ,21–28,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,60018,3,3
