,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1152,13,2020 Chevrolet Corvette Stingray w/3LT,87995,40560, Rear-wheel Drive ,15–27,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,60639,1,1
1153,14,1992 Alfa Romeo Spider Veloce,29900,28098, – ,None,– ,Automatic,–,32810,0,1
1154,15,2015 Mazda Mazda3 i Touring,13981,113832, Front-wheel Drive ,30–40,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC,92833,0,1
1155,16,2020 Ford F-150 Lariat,46500,29157, 4WD ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,18951,3,3
1156,17,2018 Ford F-150 Raptor,57950,55832, Four-wheel Drive ,15–18,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,63042,1,1
1157,18,2019 Lincoln Navigator Reserve,64741,40125, Four-wheel Drive ,16–21,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,98005,1,1
1158,19,2004 Lexus GX 470 ,10000,137000, Four-wheel Drive ,15–18,Gasoline ,5-Speed Automatic,4.7L V8 32V MPFI DOHC,68731,3,3
1159,0,2019 Mazda CX-5 Grand Touring,29459,15202, All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,07001,3,3
1160,1,2015 Chevrolet Silverado 1500 LT,31500,60643, Rear-wheel Drive ,18–24,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,77040,1,1
1161,2,2020 Chrysler Pacifica Limited,26974,71693, Front-wheel Drive ,19–28,Gasoline ,9-Speed Automatic,3.6L V6 24V MPFI DOHC,48183,3,3
1162,3,2022 Toyota 4Runner SR5 Premium,51811,550, Four-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,66109,1,0
1163,4,2020 Jeep Grand Cherokee Limited,45995,19051, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,64081,3,3
1164,5,2018 Ford Explorer XLT,32397,73236, Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,46168,1,1
1165,6,2021 Honda Pilot EX-L,30800,24891, Front-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,75116,3,3
1166,7,2017 Mercedes-Benz GLS 450 Base 4MATIC,44977,47073, All-wheel Drive ,19–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,76051,1,1
1167,8,2019 Subaru Outback 3.6R Limited,30488,37683, All-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.6L H6 24V MPFI DOHC,11101,3,3
1168,9,2021 Jeep Grand Cherokee L Overland,57669,3004, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,32817,0,1
1169,10,2020 Ford Fusion SE,22450,48427, Front-wheel Drive ,23–34,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,45150,3,3
1170,11,2001 Porsche Boxster S,17895,52450, Rear-wheel Drive ,18–26,Gasoline ,6-Speed Manual,3.2L H6 24V MPFI DOHC,60101,0,0
1171,12,2017 Ford F-150 XLT,30998,49616, 4WD ,17–23,Gasoline ,6-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo,16063,1,1
1172,13,2021 Mazda CX-30 Preferred,28500,13825, All-wheel Drive ,24–31,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,32244,3,3
1173,14,2019 Mercedes-Benz A-Class A 220 4MATIC,36560,11946, All-wheel Drive ,24–34,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,14623,1,1
1174,15,2018 Ford F-150 Raptor,55776,62452, Four-wheel Drive ,15–18,Gasoline ,10-SPEED A/T,V6 Cylinder Engine,11554,1,0
1175,16,2018 Dodge Challenger R/T 392,45980,17168, Rear-wheel Drive ,14–23,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV,46143,3,3
1176,17,2018 Ford F-150 XLT,36472,48145, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,60440,0,1
1177,18,2004 Saab 9-5 Arc,4900,91082, Front-wheel Drive ,None,Gasoline ,5-Speed Automatic,2.3L I4 16V MPFI DOHC Turbo,83704,3,3
1178,19,2016 Honda CR-V LX,17495,61318, All-wheel Drive ,25–31,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC,53052,0,1
1179,0,2021 Mercedes-Benz S-Class S 580 4MATIC,114568,10916, All-wheel Drive ,None,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,77027,1,1
1180,1,2010 Porsche Panamera Turbo,39900,57000, All-wheel Drive ,15–23,Gasoline ,7-Speed Automatic with Auto-Shift,4.8L V8 32V GDI DOHC Twin Turbo,15116,3,3
1181,2,2020 Honda Accord Sport 2.0T,33354,13734, Front-wheel Drive ,22–32,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,11542,3,3
1182,3,2019 Mercedes-Benz AMG GLC 63 4MATIC Coupe,54500,11250, All-wheel Drive ,16–22,Gasoline Fuel ,9-Speed A/T,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,0,3,3
1183,4,2020 RAM 2500 Longhorn,79994,15116, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,93405,1,1
1184,5,2018 Ford F-150 XLT,34332,67482, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,44312,0,0
1185,6,2020 Toyota Highlander XLE,34023,66928, All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,76021,3,3
1186,7,2009 GMC Yukon Hybrid Base,18999,131052, Four-wheel Drive ,20–20,Hybrid ,4-SPEED A/T,8 Cylinder Engine,98204,0,1
1187,8,2016 Lexus ES 350 Base,30991,24589, Front-wheel Drive ,21–31,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,11716,0,1
1188,9,2021 Kia Sportage LX,23759,19866, All-wheel Drive ,21–25,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC,07457,3,3
1189,10,2017 Buick LaCrosse Premium,27999,7167, Front-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,98229,3,3
1190,11,2017 Mercedes-Benz C-Class C 300 4MATIC,24495,58827, All-wheel Drive ,24–31,Gasoline ,7-SPEED A/T,4 Cylinder Engine,03053,3,3
1191,12,2018 Jeep Grand Cherokee Altitude,31998,50651, Rear-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,32124,3,3
1192,13,2021 Cadillac CT4 Sport,50970,6430, Rear-wheel Drive ,23–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,34474,3,3
1193,14,2019 Toyota Tundra Limited,45998,56804, Four-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,29607,3,3
1194,15,2019 Volkswagen Tiguan 2.0T SEL R-Line Black,28800,13072, All-wheel Drive ,21–29,Gasoline Fuel ,A/T,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,0,3,3
1195,16,2013 Ford F-250 Lariat,21998,291697, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,76012,0,0
1196,17,2014 Mercedes-Benz E-Class E 350 4MATIC,31995,47190, All-wheel Drive ,19–26,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,01906,0,1
1197,18,2019 Lincoln Navigator Black Label,76971,44225, Four-wheel Drive ,16–21,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,98036,1,1
1198,19,2021 Tesla Model Y Long Range,69962,11627, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,78626,0,1
