,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
569,13,2021 Acura RDX Technology Package,45998,45998, Black , Ebony , All-wheel Drive ,21–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
570,14,2021 Mazda CX-5 Grand Touring,33291,33291, Machine Gray Metallic , Parchment , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
571,15,2022 Hyundai Tucson Hybrid Limited,44269,44269, Quartz White , Black , All-wheel Drive ,37–36,Hybrid ,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid
572,16,2016 Ford F-150 Lariat,30994,30994, White Platinum Tri-Coat Metallic , Black , Rear-wheel Drive ,None,E85 Flex Fuel ,6-Speed Automatic,5.0L V8 Flexible Fuel
573,17,2020 Toyota Camry SE,25723,25723, Midnight Black Metallic , Ash , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
574,18,2021 BMW X7 xDrive40i,76500,76500, Mineral White Metallic , Coffee , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
575,19,2020 Land Rover Range Rover Evoque SE,41316,41316, Eiger Grey , Ebony / Ebony , All-wheel Drive ,20–27,Gasoline ,Automatic,I4
576,0,2019 Jeep Grand Cherokee Limited,33488,33488, Diamond Black , Black , Rear-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
577,1,2019 BMW X5 xDrive40i,58442,58442, Phytonic Blue Metallic , Ivory White , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
578,2,2020 BMW X7 xDrive40i,73000,73000, Black Sapphire Metallic , Black , All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
579,3,2014 Mercedes-Benz G-Class G 550,77992,77992, Black , – , All-wheel Drive ,12–15,Gasoline ,7-Speed Automatic,5.5L V8 32V MPFI DOHC
580,4,2014 Mercedes-Benz E-Class E 350 4MATIC,20985,20985, Black , Black , All-wheel Drive ,21–29,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
581,5,2018 Ford Escape SE,18995,18995, White , Gray , Four-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo
582,6,2019 Nissan Rogue SV,22997,22997, Magnetic Black , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
583,7,2008 Honda Accord EX,4999,4999, Gray , Graphite , Front-wheel Drive ,19–29,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI SOHC
584,8,2010 Lexus ES 350 Base (A6),11981,11981, Black Sapphire Pearl , Black , Front-wheel Drive ,19–27,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
585,9,2021 Honda Pilot Special Edition,41987,41987, Black , – , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
586,10,2019 Honda CR-V EX-L,32992,32992, Platinum White Pearl , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
587,11,2020 Acura TLX FWD,32990,32990, Majestic Black Pearl , Ebony , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
588,12,2020 Mercedes-Benz S-Class S 560,76990,76990, Black , – , Rear-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
589,13,2018 BMW X3 xDrive30i,39995,39995, Carbon Black Metallic , Black , All-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
590,14,2014 Lexus IS 250 Base,22444,22444, Nebula Gray Pearl , Black , All-wheel Drive ,20–27,Gasoline ,6-Speed Automatic,2.5L V6 24V PDI DOHC
591,15,2017 Tesla Model X 100D,67888,67888, Blue , – , All-wheel Drive ,86–89,Electric ,1-Speed Automatic,Electric
592,16,2021 Lexus RX 350 Base,50488,50488, Nightfall Mica , Parchment , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
593,17,2019 Honda CR-V EX-L,32405,32405, Crystal Black Pearl , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
