,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
0,0,2019 Honda Accord Sport,27995,27995, White , Red , Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1,1,2018 Porsche Macan ,41998,41998, Gray , Black , All-wheel Drive ,20–25,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
2,2,2015 Chevrolet Corvette Stingray Z51,52000,52000, Velocity Yellow Tinted Clearcoat , Black , Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV
3,3,2020 Jeep Grand Cherokee Overland,41998,41998, Ivory , Sepia / Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
4,4,2017 Ford Mustang GT Premium,29995,29995, Ingot Silver Metallic , Ebony w/Metal Gray Stitch , Rear-wheel Drive ,15–25,Gasoline ,Automatic,Engine: 5.0L Ti-VCT V8
5,5,2016 Jeep Grand Cherokee Limited,26499,26499, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
6,6,2018 Jeep Grand Cherokee High Altitude,39944,39944, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
7,7,2021 Ford F-150 Raptor,123500,123500, Gray , Blue , Four-wheel Drive ,14–18,Gasoline Fuel ,Transmission w/Dual Shift Mode,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
8,8,2019 GMC Yukon Denali,61974,61974, Onyx Black , Jet Black , Four-wheel Drive ,14–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
9,9,2022 Kia Telluride SX,54500,54500, Gray , Beige , All-wheel Drive ,19–24,Gasoline Fuel ,8-Speed A/T,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel
10,10,2018 Jeep Wrangler Unlimited Sport,36277,36277, Mojito! Clearcoat , Black , Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
11,11,2015 Toyota 4Runner Limited,33050,33050, Blizzard Pearl , Sand Beige , Rear-wheel Drive ,17–22,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
12,12,2020 Toyota Camry SE,33677,33677, White , White , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
13,13,2016 INFINITI Q50 3.0T Red Sport 400,28900,28900, Gray , Graphite , Rear-wheel Drive ,19–28,Gasoline ,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
14,14,2017 Ford F-150 Raptor,56999,56999, Black , Black , Four-wheel Drive ,15–18,Gasoline Fuel ,10-Speed A/T,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
15,15,2013 Lexus GS 350 Base,16990,16990, Gray , Black , Rear-wheel Drive ,19–28,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC
16,16,2021 Mitsubishi Mirage ES,15165,15165, Mystic Black Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
17,17,2022 Subaru Outback Touring,39747,39747, Crystal White Pearl , Java Brown , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
18,18,2017 Lexus ES 350 Base,29500,29500, Black , Beige , Front-wheel Drive ,21–30,Gasoline Fuel ,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
19,19,2021 Toyota Land Cruiser ,97900,97900, Black , – , Four-wheel Drive ,13–17,Gasoline ,8-Speed Automatic,5.7L V8 32V MPFI DOHC
20,0,2017 BMW M3 Base,53789,53789, Gray , Sakhir Orange , Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo
21,1,2011 Toyota Avalon Limited,8999,8999, Gray , Beige , Front-wheel Drive ,20–29,Gasoline Fuel ,6-Speed A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
22,2,2020 Ford Mustang EcoBoost Premium,30223,30223, Race Red , Ebony , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
23,3,2019 Audi A7 3.0T Prestige,62750,62750, Daytona Gray Pearl Effect , Black , All-wheel Drive ,22–29,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
24,4,2019 Acura ILX Technology & A-Spec,24995,24995, Blue , Red , Front-wheel Drive ,24–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
25,5,2019 Subaru Outback 3.6R Touring,32900,32900, Crystal White Pearl , Java Brown , All-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.6L H6 24V MPFI DOHC
26,6,2018 Nissan Frontier S,29997,29997, Glacier White , Steel , Four-wheel Drive ,21,Gasoline ,5-Speed Automatic with Overdrive,4.0L V6 DOHC
27,7,2020 Lamborghini Urus Base,280000,280000, Blu Astraeus Metallic , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
28,8,2014 Nissan Leaf SL,15990,15990, Black , Black , Front-wheel Drive ,0–0,Electric Fuel System ,A/T,107.0HP Electric Motor Electric Fuel System
29,9,2017 Nissan Rogue SV,24688,24688, Brilliant Silver , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
30,10,2017 Chevrolet Silverado 1500 LTZ,37991,37991, Black , Black , Four-wheel Drive ,None,Gasoline ,8-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV
31,11,2021 GMC Yukon Denali,89888,89888, Smokey Quartz Metallic , Dark Walnut/Very Dark Ash Gray , Four-wheel Drive ,14–19,Gasoline ,10-SPEED A/T,8 Cylinder Engine
32,12,2021 Mitsubishi Mirage ES,15185,15185, Starlight Silver Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
33,13,2020 Acura MDX 3.5L,39420,39420, Gunmetal Metallic , Ebony , Front-wheel Drive ,20–27,Gasoline ,Automatic,Premium Unleaded V-6 3.5 L/212
34,14,2020 Jeep Grand Cherokee Limited,34750,34750, Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
35,15,2015 BMW X5 M Base,45950,45950, White , Mugello Red , All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
36,16,2019 Honda CR-V EX,31074,31074, Molten Lava , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
37,17,2020 Ford Edge Sport,44500,44500, White , – , All-wheel Drive ,19–26,Gasoline ,Automatic,Twin Turbo Premium Unleaded V-6 2.7 L/166
38,18,2017 Kia Sorento LX,21006,21006, Ebony Black , Satin Black , All-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC
39,19,2021 Lexus ES 350 F Sport,48377,48377, Obsidian Black , Red , Front-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
40,0,2020 Kia Telluride EX,46801,46801, Gravity Gray , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
41,1,2016 Honda Civic Touring,24998,24998, Black , Gray , Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
42,2,2020 Ford Mustang EcoBoost Premium,27993,27993, Race Red , Ebony , Rear-wheel Drive ,21–30,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
43,3,2019 Audi A7 3.0T Prestige,64450,64450, Daytona Gray Pearl Effect , Pearl Beige , All-wheel Drive ,22–29,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
44,4,2020 Toyota Corolla LE,22115,22115, Barcelona Red Metallic , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
45,5,2020 Bentley Continental GT V8,274900,274900, Onyx Metallic , Hotspur , All-wheel Drive ,16–26,Gasoline ,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
46,6,2021 Tesla Model Y Performance,76492,76492, Deep Blue Metallic , White / Black , All-wheel Drive ,115–106,Electric ,1-Speed Automatic,Electric
47,7,2020 Kia Telluride EX,37400,37400, Ebony Black , Black , Front-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
48,8,2017 Volkswagen Golf Alltrack TSI S,19500,19500, Silk Blue Metallic , Titan Black , All-wheel Drive ,22–30,Gasoline ,6-Speed Automatic with Auto-Shift,1.8L I4 16V GDI DOHC Turbo
49,9,2016 Honda Accord EX-L,24993,24993, Gray , – , Front-wheel Drive ,27–37,Gasoline ,CVT,4 Cylinder Engine
50,10,2020 Honda HR-V LX,19999,19999, Gray , Gray , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
51,11,2021 Genesis G70 3.3T,46980,46980, Himalayan Gray , Black / Red , Rear-wheel Drive ,17–26,Gasoline ,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo
52,12,2018 Honda Accord LX,25982,25982, Platinum White Pearl , Gray , Front-wheel Drive ,30–38,Gasoline ,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91
53,13,2012 Ford Escape XLT,7200,7200, Green , Black , Front-wheel Drive ,21–28,Flex Fuel Capability ,A/T,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability
54,14,2017 Honda Civic LX,19741,19741, White , Black / Ivory , Front-wheel Drive ,31–40,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
55,15,2016 Toyota 4Runner SR5 Premium,32999,32999, Magnetic Gray Metallic , Black / Graphite , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
56,16,2007 Porsche 911 Turbo,89888,89888, Black , Brown , All-wheel Drive ,17–25,Gasoline Fuel ,5-Speed A/T,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel
57,17,2009 Maserati GranTurismo S,32900,32900, Black , Red , Rear-wheel Drive ,None,Gasoline ,6-Speed Automatic with Overdrive,4.7L V8 32V MPFI DOHC
58,18,2014 Mercedes-Benz CLS-Class CLS 550 4MATIC,24735,24735, White , Black , All-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
59,19,2019 Mercedes-Benz GLS 450 Base 4MATIC,53523,53523, Gray , Black , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
60,0,2020 Ford Mustang EcoBoost Premium,30883,30883, Magnetic Metallic , Ebony , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
61,1,2016 Land Rover Range Rover 3.0L Turbocharged Diesel HSE Td6,39995,39995, White , Beige , Four-wheel Drive ,22–28,Diesel Fuel ,8-Speed A/T,254.0HP 3.0L V6 Cylinder Engine Diesel Fuel
62,2,2021 GMC Acadia SLE,34479,34479, Satin Steel Metallic , Cocoa , Front-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,2.5L I4 16V GDI DOHC
63,3,2019 Jeep Grand Cherokee Limited,42590,42590, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
64,4,2016 Toyota 4Runner ,35194,35194, Blue , – , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
65,5,2018 Chevrolet Suburban LT,40750,40750, Silver Ice Metallic , Black , Four-wheel Drive ,15–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
66,6,2021 Nissan GT-R Premium,149999,149999, Bayside Blue , Gray , All-wheel Drive ,16–22,Gasoline ,6-Speed Automatic with Auto-Shift,3.8L V6 24V MPFI DOHC Twin Turbo
67,7,2020 Acura TLX A-Spec,33745,33745, Platinum White Pearl , Red , Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
68,8,2018 Porsche Panamera ,69998,69998, Black , Gray , – ,21,Gasoline ,8-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
69,9,2019 Toyota 4Runner Limited,36893,36893, Magnetic Gray Metallic , Black Graphite , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
70,10,2006 Maserati Quattroporte Executive GT,18777,18777, Gray , Avorio , Rear-wheel Drive ,12–15,Gasoline ,6-Speed Automatic with Auto-Shift,4.2L V8 32V MPFI DOHC
71,11,2019 Honda CR-V EX-L,33790,33790, Basque Red Pearl II , Gray , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
72,12,2019 Mazda CX-9 Touring,32499,32499, Snowflake White Pearl Mica , Black , All-wheel Drive ,20–26,Gasoline ,Automatic,Intercooled Turbo Regular Unleaded I-4 2.5 L/152
73,13,2020 Acura TLX A-Spec,33500,33500, Modern Steel Metallic , Ebony , All-wheel Drive ,20–29,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
74,14,2019 Tesla Model 3 Long Range,52458,52458, Gray , Black , All-wheel Drive ,120–112,Electric ,1-Speed Automatic,Electric
75,15,2019 Toyota Camry XLE,30995,30995, Silver , Gray , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
76,16,2019 Land Rover Range Rover Velar P250 S,50999,50999, Narvik Black , Light Oyster / Ebony , Four-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
77,17,2021 BMW X5 xDrive40i,62600,62600, Arctic Gray Metallic , Black , All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
78,18,2020 Tesla Model X Performance,102000,102000, Gray , Beige , All-wheel Drive ,80–77,Electric Fuel System ,A/T,Electric Motor Electric Fuel System
79,19,2021 Chevrolet Corvette Stingray w/2LT,101985,101985, Red , Red , Rear-wheel Drive ,15–27,Gasoline Fuel ,8-Speed A/T,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel
80,0,2017 Chevrolet Corvette Z06,79970,79970, Watkins Glen Gray Metallic , Jet Black , Rear-wheel Drive ,15–22,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV Supercharged
81,1,2018 Mazda CX-5 Grand Touring,25488,25488, Jet Black Mica , Black , Front-wheel Drive ,25–31,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
82,2,2020 Honda HR-V LX,25499,25499, Black , Gray , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
83,3,2019 INFINITI QX60 Luxe,30991,30991, Graphite Shadow , Graphite , All-wheel Drive ,19–26,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC
84,4,2016 Porsche Panamera 4,49886,49886, Gray , Carrera Red , All-wheel Drive ,18–27,Gasoline ,7-Speed Automatic with Auto-Shift,3.6L V6 24V GDI DOHC
85,5,2017 Toyota Tundra Platinum,40900,40900, Black , – , Four-wheel Drive ,13–17,E85 Flex Fuel ,6-Speed Automatic,5.7L V8 32V MPFI DOHC Flexible Fuel
86,6,2019 Mercedes-Benz GLS 450 Base 4MATIC,56353,56353, Lunar Blue Metallic , Ginger , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
87,7,2019 GMC Yukon Denali,70981,70981, Onyx Black , Jet Black , Four-wheel Drive ,14–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
88,8,2019 Mercedes-Benz AMG C 43 Base 4MATIC,54871,54871, designo Cardinal Red , Black , All-wheel Drive ,19–27,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
89,9,2016 Ford Mustang GT Premium,52485,52485, Black , Ebony , Rear-wheel Drive ,15–25,Gasoline ,6-Speed Automatic,5.0L V8 32V MPFI DOHC
90,10,2018 Honda Odyssey EX-L,35371,35371, Gray , Beige , Front-wheel Drive ,19–28,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
91,11,2020 Acura MDX 3.5L w/Technology Package,41985,41985, Modern Steel Metallic , Ebony , Front-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
92,12,2019 Toyota 4Runner Limited,48759,48759, Blizzard Pearl , Redwood , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
93,13,2019 Toyota Corolla SE,20995,20995, Blue , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
94,14,2017 BMW 440 Gran Coupe i xDrive,26500,26500, Blue , Coral Red / Black , All-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
95,15,2009 INFINITI FX35 Base,14500,14500, Black , Beige , Rear-wheel Drive ,16–23,Gasoline Fuel ,7-Speed A/T,303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
96,16,2021 BMW X3 xDrive30i,45151,45151, Glacier Silver Metallic , Black , All-wheel Drive ,23–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
97,17,2019 BMW X5 xDrive40i,54488,54488, Alpine White , Canberra Beige , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
98,18,2022 Toyota Highlander Hybrid Platinum,62000,62000, Black , Brown , All-wheel Drive ,35–34,Gas/Electric Hybrid ,CVT Transmission,243.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid
99,19,2019 Ford Expedition Max Platinum,62998,62998, Black , Ebony , Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
100,0,2019 Land Rover Range Rover Velar P250 S,48900,48900, Narvik Black , Ebony / Ebony , Four-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
101,1,2019 Lexus RC 300 ,35998,35998, Gray , Tan , Rear-wheel Drive ,21–30,Gasoline ,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo
102,2,2021 Tesla Model Y Long Range,68984,68984, White , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
103,3,2022 Tesla Model S Base,108950,108950, Pearl White Multi , Black , All-wheel Drive ,124–115,Electric ,1-Speed Automatic,Electric
104,4,2021 Tesla Model Y Long Range,68995,68995, SELECT , White / Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
105,5,2021 Hyundai Elantra Limited,29000,29000, Quartz White , Medium Gray , Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
106,6,2019 Honda Accord Sport,23981,23981, Red , Black , Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
107,7,2019 Mazda CX-9 Touring,32199,32199, Snowflake White Pearl Mica , Black , All-wheel Drive ,20–26,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo
108,8,2020 Ford F-150 Lariat,52151,52151, Magnetic Metallic , Black , Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo
109,9,2013 BMW 335 i,19650,19650, Silver , – , Rear-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
110,10,2012 Mercedes-Benz E-Class E 350,16495,16495, – , – , Rear-wheel Drive ,20–30,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
111,11,2019 Honda CR-V EX-L,29977,29977, Molten Lava Pearl , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
112,12,2013 Mercedes-Benz SL-Class SL 550,34987,34987, Diamond White Metallic , Black , Rear-wheel Drive ,17–25,Gasoline ,Automatic,Turbocharged Gas V8 4.6L/285
113,13,2018 BMW 320 i xDrive,23698,23698, Black , Venetian Beige , All-wheel Drive ,23–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
114,14,2019 Toyota Highlander LE,28995,28995, Predawn Gray Mica , Black , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
115,15,2021 Tesla Model Y Long Range,71999,71999, White , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
116,16,2015 Toyota Avalon XLE Touring,19980,19980, Sizzling Crimson Mica , Beige , Front-wheel Drive ,21–31,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
117,17,2018 Audi S4 3.0T Premium Plus,41700,41700, Tango Red Metallic , Black , All-wheel Drive ,21–30,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
118,18,2016 Volvo XC60 T6 Premier Plus,25990,25990, Osmium Grey Metallic , Off Black , All-wheel Drive ,17–23,Gasoline ,6-Speed Automatic,3.0L I6 24V MPFI DOHC Turbo
119,19,2017 Kia Optima EX,17500,17500, Maroon , Black , Front-wheel Drive ,24–34,Gasoline ,6 speed automatic w/sportmatic,4 Cylinder Engine
120,0,2020 Porsche Macan S,67995,67995, Gray , Beige , All-wheel Drive ,18–23,Gasoline Fuel ,7-Speed A/T,348.0HP 3.0L V6 Cylinder Engine Gasoline Fuel
121,1,2019 Toyota 4Runner Limited,40887,40887, Blizzard Pearl , Redwood , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
122,2,2021 GMC Yukon Denali,84489,84489, White Frost Tri-Coat , – , Four-wheel Drive ,14–19,Diesel ,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel
123,3,2015 Toyota 4Runner Limited,29995,29995, White , Tan , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
124,4,2013 Lexus ES 350 Base,14899,14899, Brown , Beige , Front-wheel Drive ,21–31,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
125,5,2020 Mazda Mazda6 Sport,29998,29998, Jet Black Mica , Parchment , Front-wheel Drive ,23–31,Gasoline ,6-Speed Automatic,2.5L I4 16V
126,6,2010 Lexus ES 350 Base,9799,9799, BURGUN , BEIGE , Front-wheel Drive ,19–0,Gasoline ,Automatic,V6 Cylinder Engine
127,7,2019 Honda Pilot EX-L,36631,36631, Crystal Black Pearl , – , All-wheel Drive ,18–26,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC
128,8,2013 Mercedes-Benz S-Class S 550 4MATIC,25777,25777, Blue , Cashmere / Savanna , All-wheel Drive ,15–24,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
129,9,2020 Mercedes-Benz G-Class G 550 4MATIC,149990,149990, designo Diamond White Metallic , Black , All-wheel Drive ,13–17,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
130,10,2019 Mercedes-Benz C-Class C 300,42000,42000, Graphite , Cranberry Red , Rear-wheel Drive ,22–31,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
131,11,2020 Mercedes-Benz CLA 250 Base,38995,38995, Polar White , – , Front-wheel Drive ,25–35,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
132,12,2004 Ford Freestar Limited,6000,6000, Green , Beige , Front-wheel Drive ,16–23,Gasoline Fuel ,A/T,201.0HP 4.2L V6 Cylinder Engine Gasoline Fuel
133,13,2019 Mercedes-Benz AMG C 43 Base 4MATIC,48500,48500, Polar White , – , All-wheel Drive ,19–27,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
134,14,2021 Tesla Model Y Performance,73998,73998, Gray , Black , All-wheel Drive ,115–106,Electric ,1-Speed Automatic,Electric
135,15,2017 Subaru Forester 2.5i Premium,22998,22998, Jasmine Green Metallic , Gray , All-wheel Drive ,26–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
136,16,2021 Aston Martin DBX Base,173996,173996, Black , Orange , All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
137,17,2019 Volvo XC60 T5 Momentum,42550,42550, Crystal White Pearl Metallic , Maroon Brown , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
138,18,2022 Tesla Model S Base,109950,109950, Black , Black , All-wheel Drive ,124–115,Electric ,1-Speed Automatic,Electric
139,19,2020 Kia Telluride SX,52037,52037, Snow White Pearl , Brown , Front-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
140,0,2021 Dodge Challenger GT,35594,35594, F8 Green , Black , Rear-wheel Drive ,19–30,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
141,1,2017 Hyundai Tucson Eco,18495,18495, Coliseum Grey , Black , All-wheel Drive ,25–30,Gasoline ,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo
142,2,2020 Subaru Ascent Touring 7-Passenger,31754,31754, Crystal White Pearl , Java Brown , All-wheel Drive ,20–26,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo
143,3,2021 GMC Acadia SLE,34990,34990, Satin Steel Metallic , Jet Black , Front-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
144,4,2016 Ford Explorer Sport,27500,27500, Ruby Red Metallic , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
145,5,2020 Nissan Pathfinder SL,28998,28998, Gun Metallic , Charcoal , Front-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC
146,6,2005 Volvo S60 2.4,3059,3059, White , – , Front-wheel Drive ,21–29,Gasoline ,5-Speed Automatic,2.4L I5 20V MPFI DOHC
147,7,2020 Jaguar F-PACE S,47077,47077, Narvik Black , Ebony / Ebony , All-wheel Drive ,18–23,Gasoline ,Automatic,V6
148,8,2016 Ford Explorer Sport,29000,29000, Black , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
149,9,2010 Lincoln Town Car Signature Limited,14995,14995, – , Light Camel , Rear-wheel Drive ,16–24,E85 Flex Fuel ,4-Speed Automatic,4.6L V8 16V MPFI SOHC Flexible Fuel
150,10,2016 Ford Fusion SE,18995,18995, Ruby Red Metallic Tinted Clearcoat , Charcoal Black , Front-wheel Drive ,22–34,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
151,11,2020 Acura MDX 3.5L w/Technology Package,39590,39590, Modern Steel Metallic , Ebony , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
152,12,2018 BMW 330 i xDrive,32998,32998, Black , Black , All-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
153,13,2019 Nissan Rogue SV,22797,22797, Gun Metallic , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
